Abbr,Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery_Name,City,State
 AK,Amber Ale,2436,0.051,NA,103,American Amber / Red Ale,12,King Street Brewing Company,Anchorage,NA
 AK,King Street Blonde Ale,1665,0.049,NA,103,American Blonde Ale,12,King Street Brewing Company,Anchorage,NA
 AK,King Street Pilsner,1706,0.055,30,103,Czech Pilsener,12,King Street Brewing Company,Anchorage,NA
 AK,Sunken Island IPA,349,0.068,63,459,American IPA,12,Kenai River Brewing Company,Soldotna,NA
 AK,Urban Wilderness Pale Ale,30,0.049,NA,558,English Pale Ale,12,Sleeping Lady Brewing Company,Anchorage,NA
 AK,Twister Creek India Pale Ale,947,0.065,71,454,American IPA,12,Denali Brewing Company,Talkeetna,NA
 AK,King Street IPA,1667,0.06,70,103,American IPA,12,King Street Brewing Company,Anchorage,NA
 AK,Sockeye Red IPA,434,0.057,70,224,American IPA,12,Midnight Sun Brewing Company,Anchorage,NA
 AK,Fairweather IPA,648,0.061,64,494,American IPA,12,Broken Tooth Brewing Company,Anchorage,NA
 AK,Pleasure Town,2093,0.063,61,224,American IPA,12,Midnight Sun Brewing Company,Anchorage,NA
 AK,Pleasure Town IPA,1814,0.063,61,224,American IPA,12,Midnight Sun Brewing Company,Anchorage,NA
 AK,Chuli Stout,1213,0.059,55,454,Irish Dry Stout,12,Denali Brewing Company,Talkeetna,NA
 AK,Mother Ale,1159,0.056,46,454,American Blonde Ale,12,Denali Brewing Company,Talkeetna,NA
 AK,Single Engine Red,929,0.058,46,454,Irish Red Ale,12,Denali Brewing Company,Talkeetna,NA
 AK,Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau,NA
 AK,Skilak Scottish Ale,1193,0.058,36,459,Scottish Ale,12,Kenai River Brewing Company,Soldotna,NA
 AK,Skilak Scottish Ale (2011),348,0.058,36,459,Scottish Ale,12,Kenai River Brewing Company,Soldotna,NA
 AK,Kodiak Brown Ale,586,0.05,24,224,American Brown Ale,12,Midnight Sun Brewing Company,Anchorage,NA
 AK,Alaskan Amber,1920,0.053,18,271,Altbier,12,Alaskan Brewing Company,Juneau,NA
 AK,Polar Pale Ale,920,0.052,17,494,American Pale Ale (APA),12,Broken Tooth Brewing Company,Anchorage,NA
 AK,Northern Lights Amber Ale,921,0.05,15,494,American Amber / Red Ale,12,Broken Tooth Brewing Company,Anchorage,NA
 AK,Peninsula Brewers Reserve (PBR),1187,0.05,15,459,American Blonde Ale,12,Kenai River Brewing Company,Soldotna,NA
