"State","Abbr","City","Beer_Name","Beer_ID","ABV","IBU","Brewery_id","Brewery_Name","Style","Ale_Style","Ounces"
"Alaska","AK","Soldotna","Peninsula Brewers Reserve (PBR)",1187,0.05,30,459,"Kenai River Brewing Company","American Blonde Ale","Ale",12
"Alaska","AK","Anchorage","Northern Lights Amber Ale",921,0.05,63,494,"Broken Tooth Brewing Company","American Amber / Red Ale","Ale",12
"Alaska","AK","Talkeetna","Twister Creek India Pale Ale",947,0.065,71,454,"Denali Brewing Company","American IPA","IPA",12
"Alaska","AK","Anchorage","Pleasure Town IPA",1814,0.063,70,224,"Midnight Sun Brewing Company","American IPA","IPA",12
"Alaska","AK","Anchorage","Urban Wilderness Pale Ale",30,0.049,70,558,"Sleeping Lady Brewing Company","English Pale Ale","Ale",12
"Alaska","AK","Anchorage","Sockeye Red IPA",434,0.057,64,224,"Midnight Sun Brewing Company","American IPA","IPA",12
"Alaska","AK","Anchorage","Chugach Session Ale",919,0.048,61,494,"Broken Tooth Brewing Company","Cream Ale","Ale",12
"Alaska","AK","Anchorage","King Street IPA",1667,0.06,61,103,"King Street Brewing Company","American IPA","IPA",12
"Alaska","AK","Anchorage","Polar Pale Ale",920,0.052,55,494,"Broken Tooth Brewing Company","American Pale Ale (APA)","Ale",12
"Alaska","AK","Anchorage","Snowshoe White Ale",587,0.048,46,224,"Midnight Sun Brewing Company","Witbier","other beer",12
"Alaska","AK","Anchorage","King Street Pilsner",1706,0.055,46,103,"King Street Brewing Company","Czech Pilsener","other beer",12
"Alaska","AK","Talkeetna","Mother Ale",1159,0.056,40,454,"Denali Brewing Company","American Blonde Ale","Ale",12
"Alaska","AK","Talkeetna","Single Engine Red",929,0.058,36,454,"Denali Brewing Company","Irish Red Ale","Ale",12
"Alaska","AK","Anchorage","King Street Hefeweizen",1666,0.057,36,103,"King Street Brewing Company","Hefeweizen","other beer",12
"Alaska","AK","Talkeetna","Chuli Stout",1213,0.059,24,454,"Denali Brewing Company","Irish Dry Stout","other beer",12
"Alaska","AK","Soldotna","Skilak Scottish Ale (2011)",348,0.058,18,459,"Kenai River Brewing Company","Scottish Ale","Ale",12
"Alaska","AK","Anchorage","Fairweather IPA",648,0.061,17,494,"Broken Tooth Brewing Company","American IPA","IPA",12
"Alaska","AK","Juneau","Alaskan Amber",1920,0.053,15,271,"Alaskan Brewing Company","Altbier","other beer",12
"Alaska","AK","Juneau","Freeride APA",1921,0.053,15,271,"Alaskan Brewing Company","American Pale Ale (APA)","Ale",12
"Alaska","AK","Anchorage","Amber Ale",2436,0.051,13,103,"King Street Brewing Company","American Amber / Red Ale","Ale",12
"Alaska","AK","Anchorage","King Street Blonde Ale",1665,0.049,12,103,"King Street Brewing Company","American Blonde Ale","Ale",12
"Alaska","AK","Soldotna","Skilak Scottish Ale",1193,0.058,10,459,"Kenai River Brewing Company","Scottish Ale","Ale",12
"Alabama","AL","Gadsden","Naked Pig Pale Ale",1875,0.06,103,287,"Back Forty Beer Company","American Pale Ale (APA)","Ale",12
"Alabama","AL","Huntsville","Monkeynaut IPA",637,0.072,70,413,"Straight to Ale","American IPA","IPA",12
"Alabama","AL","Birmingham","Good People American Brown Ale",308,0.058,64,479,"Good People Brewing Company","American Brown Ale","Ale",12
"Alabama","AL","Huntsville","Lily Flagg Milk Stout",925,0.05,54,413,"Straight to Ale","Milk / Sweet Stout","other beer",12
"Alabama","AL","Birmingham","Good People Pale Ale",1000,0.056,43,479,"Good People Brewing Company","American Pale Ale (APA)","Ale",12
"Alabama","AL","Gadsden","Truck Stop Honey Brown Ale",1876,0.06,36,287,"Back Forty Beer Company","English Brown Ale","Ale",12
"Alabama","AL","Birmingham","Good People IPA",309,0.06,36,479,"Good People Brewing Company","American IPA","IPA",12
"Alabama","AL","Huntsville","Sand Island Lighthouse",1410,0.051,30,413,"Straight to Ale","Kölsch","other beer",12
"Alabama","AL","Birmingham","Coffee Oatmeal Stout",311,0.06,25,479,"Good People Brewing Company","Oatmeal Stout","other beer",12
"Arkansas","AR","Rogers","Ozark American Pale Ale",1961,0.04,16,260,"Ozark Beer Company","American Pale Ale (APA)","Ale",12
"Arkansas","AR","Springdale","Core ESB",1336,0.061,36,140,"Core Brewing & Distilling Company","Extra Special / Strong Bitter (ESB)","other beer",12
"Arkansas","AR","Springdale","Core Oatmeal Stout",1337,0.057,39,140,"Core Brewing & Distilling Company","Oatmeal Stout","other beer",12
"Arizona","AZ","Lake Havasu City","Dry Heat Hefeweizen (2006)",131,0.055,25,508,"Mudshark Brewing Company","Hefeweizen","other beer",12
"Arizona","AZ","Chandler","American Idiot Ale (2012)",764,0.055,70,31,"SanTan Brewing Company","American Pale Ale (APA)","Ale",12
"Arizona","AZ","Flagstaff","Wapiti Amber Ale",327,0.05,99,550,"Mogollon Brewing Company","American Amber / Red Ale","Ale",12
"Arizona","AZ","Williams","Grand Canyon American Pilsner",476,0.052,85,537,"Grand Canyon Brewing Company","American Pilsner","other beer",12
"Arizona","AZ","Chandler","Sex Panther (2014)",852,0.069,85,31,"SanTan Brewing Company","American Porter","other beer",12
"Arizona","AZ","Chandler","Sex Panther",2599,0.069,60,31,"SanTan Brewing Company","American Porter","other beer",12
"Arizona","AZ","Williams","White Water Wheat",477,0.05,60,537,"Grand Canyon Brewing Company","American Pale Wheat Ale","Ale",12
"Arizona","AZ","Chandler","Oktoberfest",1995,0.055,47,31,"SanTan Brewing Company","Märzen / Oktoberfest","other beer",12
"Arizona","AZ","Chandler","Epicenter Amber Ale (2010)",124,0.055,45,31,"SanTan Brewing Company","American Amber / Red Ale","Ale",12
"Arizona","AZ","Chandler","SunSpot Golden Ale",1934,0.05,45,31,"SanTan Brewing Company","American Blonde Ale","Ale",12
"Arizona","AZ","Tempe","Hop Knot IPA",358,0.067,45,161,"Four Peaks Brewing Company","American IPA","IPA",12
"Arizona","AZ","Chandler","Devil’s Ale",850,0.055,25,31,"SanTan Brewing Company","American Pale Ale (APA)","Ale",12
"Arizona","AZ","Chandler","Devil’s Ale (2010)",285,0.055,21,31,"SanTan Brewing Company","American Pale Ale (APA)","Ale",12
"Arizona","AZ","Chandler","Count Hopula (Vault Series)",2063,0.091,21,31,"SanTan Brewing Company","American Double / Imperial IPA","IPA",16
"Arizona","AZ","Tempe","Four Peaks Peach Ale",1585,0.042,20,161,"Four Peaks Brewing Company","Fruit / Vegetable Beer","other beer",12
"Arizona","AZ","Tempe","Kilt Lifter Scottish-Style Ale (2009)",179,0.06,20,161,"Four Peaks Brewing Company","Scottish Ale","Ale",12
"Arizona","AZ","Flagstaff","Lumberyard Pilsner",1153,0.053,20,159,"Lumberyard Brewing Company","American Pilsner","other beer",12
"Arizona","AZ","Chandler","Hop Shock IPA",1071,0.07,20,31,"SanTan Brewing Company","American IPA","IPA",12
"Arizona","AZ","Chandler","I.W.A. (2011)",1329,0.06,20,31,"SanTan Brewing Company","American Pale Wheat Ale","Ale",12
"Arizona","AZ","Chandler","Mr. Pineapple",777,0.05,16,31,"SanTan Brewing Company","Fruit / Vegetable Beer","other beer",12
"Arizona","AZ","Tempe","Sunbru Kölsch",2309,0.052,15,161,"Four Peaks Brewing Company","Kölsch","other beer",12
"Arizona","AZ","Lake Havasu City","Big Blue Van",2061,0.058,15,233,"College Street Brewhouse and Pub","Fruit / Vegetable Beer","other beer",16
"Arizona","AZ","Tempe","Pumpkin Porter",1616,0.051,15,161,"Four Peaks Brewing Company","American Porter","other beer",12
"Arizona","AZ","Tucson","Noche Dulce",2062,0.071,9,232,"Borderlands Brewing Company","American Porter","other beer",16
"California","CA","Los Angeles","Golden Road Hefeweizen",1489,0.046,19,241,"Golden Road Brewing","Hefeweizen","other beer",16
